GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bidService,arsw.tamaltolimense.bidservice.classes,Bid,4,108,3,11,2,26,3,10,0,6
bidService,arsw.tamaltolimense.bidservice.service.impl,BidServiceImpl,14,128,3,23,1,25,4,16,1,6
